method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v4,42,300000,satisfied,11000,21.0,124.73809523809521,2619.4999999999995,1,1,0.93125,0.3020833333333333,0.9020833333333333,0.6833333333333333
v4,42,300000,satisfied,11001,22.0,138.79999999999993,3053.5999999999985,1,1,0.9479166666666666,0.29375,0.96875,0.8708333333333333
v4,42,300000,satisfied,11002,18.0,157.12777777777782,2828.3000000000006,1,1,0.8708333333333333,0.32083333333333336,0.925,0.8
v4,42,300000,satisfied,11003,24.0,119.59166666666675,2870.200000000002,1,1,0.9354166666666667,0.32916666666666666,0.90625,0.96875
v4,42,300000,satisfied,11004,18.0,160.82222222222222,2894.8,1,1,0.9270833333333334,0.3020833333333333,0.9166666666666666,0.90625
v4,42,300000,satisfied,11005,16.0,179.18124999999998,2866.8999999999996,1,0,0.95625,0.24375,0.9520833333333333,0.6666666666666666
v4,42,300000,satisfied,11006,18.0,147.31666666666675,2651.7000000000016,1,1,0.9,0.21458333333333332,0.9729166666666667,0.6770833333333334
v4,42,300000,satisfied,11007,19.0,123.9842105263158,2355.7000000000003,1,1,0.725,0.26458333333333334,0.9854166666666667,0.7854166666666667
v4,42,300000,satisfied,11008,22.0,113.5227272727273,2497.5000000000005,1,1,0.7854166666666667,0.3729166666666667,0.93125,0.8666666666666667
v4,42,300000,satisfied,11009,18.0,153.45555555555555,2762.2,1,1,0.9104166666666667,0.30625,0.96875,0.8104166666666667
v4,42,300000,satisfied,11010,20.0,138.45499999999998,2769.0999999999995,1,1,0.9541666666666667,0.21458333333333332,0.9229166666666667,0.8041666666666667
v4,42,300000,satisfied,11011,20.0,136.90499999999994,2738.099999999999,1,1,0.9354166666666667,0.275,0.9729166666666667,0.9166666666666666
v4,42,300000,satisfied,11012,21.0,112.99523809523816,2372.9000000000015,1,1,0.7166666666666667,0.3541666666666667,0.8875,0.8833333333333333
v4,42,300000,satisfied,11013,21.0,138.99999999999991,2918.999999999998,1,1,0.825,0.45416666666666666,0.8791666666666667,0.9291666666666667
