method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
FastServerFirst,-1,-1,baseline,11000,11.0,236.8,2604.8,1,0,0.9375,0.0,0.9020833333333333,0.0
FastServerFirst,-1,-1,baseline,11001,12.0,259.5166666666667,3114.2000000000007,1,0,0.99375,0.0,0.96875,0.0
FastServerFirst,-1,-1,baseline,11002,12.0,217.4666666666667,2609.6000000000004,1,0,0.8958333333333334,0.0,0.925,0.0
FastServerFirst,-1,-1,baseline,11003,13.0,195.5692307692307,2542.399999999999,1,0,0.96875,0.0,0.9625,0.0
FastServerFirst,-1,-1,baseline,11004,12.0,226.36666666666665,2716.3999999999996,1,0,0.9604166666666667,0.0,0.9166666666666666,0.0
FastServerFirst,-1,-1,baseline,11005,14.0,202.17857142857133,2830.4999999999986,1,0,0.9875,0.0,0.95,0.0
FastServerFirst,-1,-1,baseline,11006,11.0,222.26363636363638,2444.9,1,0,0.9395833333333333,0.0,0.9729166666666667,0.0
FastServerFirst,-1,-1,baseline,11007,12.0,207.37499999999997,2488.4999999999995,1,0,0.9145833333333333,0.0,0.9854166666666667,0.0
FastServerFirst,-1,-1,baseline,11008,11.0,239.77272727272722,2637.4999999999995,1,0,0.95625,0.0,0.93125,0.0
FastServerFirst,-1,-1,baseline,11009,11.0,255.58181818181802,2811.3999999999983,1,0,0.9979166666666667,0.0,0.96875,0.0
FastServerFirst,-1,-1,baseline,11010,12.0,227.61666666666676,2731.400000000001,1,0,0.9854166666666667,0.0,0.9229166666666667,0.0
FastServerFirst,-1,-1,baseline,11011,12.0,238.7166666666665,2864.599999999998,1,0,0.9979166666666667,0.0,0.9729166666666667,0.0
FastServerFirst,-1,-1,baseline,11012,11.0,240.9818181818182,2650.8,1,0,0.93125,0.0,0.8875,0.0
FastServerFirst,-1,-1,baseline,11013,14.0,198.65714285714284,2781.2,1,0,0.9645833333333333,0.0,0.94375,0.0
FastServerFirst,-1,-1,baseline,11014,14.0,205.72142857142867,2880.1000000000013,1,0,0.9979166666666667,0.0,0.9854166666666667,0.0
FastServerFirst,-1,-1,baseline,11015,15.0,174.47999999999996,2617.1999999999994,1,0,0.9916666666666667,0.0,0.9458333333333333,0.0
FastServerFirst,-1,-1,baseline,11016,15.0,173.38666666666657,2600.7999999999984,1,0,0.9833333333333333,0.0,0.9625,0.0
FastServerFirst,-1,-1,baseline,11017,12.0,227.6083333333332,2731.2999999999984,1,0,0.9854166666666667,0.0,0.9541666666666667,0.0
FastServerFirst,-1,-1,baseline,11018,12.0,238.82500000000005,2865.9000000000005,1,0,0.9541666666666667,0.0,0.9416666666666667,0.0
FastServerFirst,-1,-1,baseline,11019,10.0,234.66000000000008,2346.600000000001,1,0,0.9354166666666667,0.0,0.8895833333333333,0.0
FastServerFirst,-1,-1,baseline,11020,10.0,278.4799999999999,2784.7999999999993,1,0,0.9666666666666667,0.0,0.96875,0.0
FastServerFirst,-1,-1,baseline,11021,11.0,232.63636363636363,2559.0,1,0,0.9479166666666666,0.0,0.9645833333333333,0.0
FastServerFirst,-1,-1,baseline,11022,11.0,246.90000000000012,2715.9000000000015,1,0,0.9979166666666667,0.0,0.9604166666666667,0.0
FastServerFirst,-1,-1,baseline,11023,12.0,235.9499999999999,2831.3999999999987,1,0,0.9708333333333333,0.0,0.9416666666666667,0.0
FastServerFirst,-1,-1,baseline,11024,12.0,273.18333333333345,3278.200000000001,1,0,0.99375,0.0,0.9520833333333333,0.0
FastServerFirst,-1,-1,baseline,11025,13.0,181.8384615384615,2363.8999999999996,1,0,0.90625,0.0,0.91875,0.0
FastServerFirst,-1,-1,baseline,11026,12.0,224.0999999999998,2689.1999999999975,1,0,0.93125,0.0,0.9729166666666667,0.0
FastServerFirst,-1,-1,baseline,11027,11.0,257.54545454545445,2832.9999999999986,1,0,0.9791666666666666,0.0,0.9375,0.0
FastServerFirst,-1,-1,baseline,11028,11.0,257.52727272727276,2832.8,1,0,0.9854166666666667,0.0,0.9833333333333333,0.0
FastServerFirst,-1,-1,baseline,11029,14.0,194.2214285714286,2719.1000000000004,1,0,0.93125,0.0,0.9125,0.0
FastServerFirst,-1,-1,baseline,11030,17.0,157.38823529411752,2675.599999999998,1,0,0.975,0.0,0.975,0.0
FastServerFirst,-1,-1,baseline,11031,11.0,261.8,2879.8,1,0,0.9895833333333334,0.0,0.9458333333333333,0.0
FastServerFirst,-1,-1,baseline,11032,11.0,242.99090909090913,2672.9000000000005,1,0,0.9625,0.0,0.9416666666666667,0.0
FastServerFirst,-1,-1,baseline,11033,11.0,231.69090909090903,2548.5999999999995,1,0,0.9583333333333334,0.0,0.9541666666666667,0.0
