method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
LeastUtilised,-1,-1,baseline,11000,19.0,140.84736842105264,2676.1,1,1,0.89375,0.575,0.8520833333333333,0.7854166666666667
LeastUtilised,-1,-1,baseline,11001,22.0,148.32272727272724,3263.0999999999995,1,1,0.9479166666666666,0.8083333333333333,0.96875,0.8479166666666667
LeastUtilised,-1,-1,baseline,11002,19.0,133.95789473684204,2545.199999999999,1,1,0.8875,0.51875,0.84375,0.7208333333333333
LeastUtilised,-1,-1,baseline,11003,21.0,136.9285714285714,2875.499999999999,1,1,0.9520833333333333,0.6729166666666667,0.96875,0.79375
LeastUtilised,-1,-1,baseline,11004,21.0,137.3238095238095,2883.7999999999997,1,1,0.9145833333333333,0.6020833333333333,0.9166666666666666,0.80625
LeastUtilised,-1,-1,baseline,11005,19.0,144.38947368421054,2743.4000000000005,1,1,0.7833333333333333,0.5041666666666667,0.9604166666666667,0.8041666666666667
LeastUtilised,-1,-1,baseline,11006,18.0,160.20555555555558,2883.7000000000003,1,1,0.8625,0.63125,0.9395833333333333,0.91875
LeastUtilised,-1,-1,baseline,11007,19.0,129.93684210526322,2468.800000000001,1,1,0.7625,0.41458333333333336,0.9770833333333333,0.7854166666666667
LeastUtilised,-1,-1,baseline,11008,23.0,124.29999999999993,2858.8999999999983,1,1,0.9083333333333333,0.6229166666666667,0.93125,0.80625
LeastUtilised,-1,-1,baseline,11009,19.0,168.11578947368417,3194.1999999999994,1,1,0.9854166666666667,0.7333333333333333,0.96875,0.91875
LeastUtilised,-1,-1,baseline,11010,21.0,150.53333333333336,3161.2000000000007,1,1,0.9833333333333333,0.6520833333333333,0.94375,0.8854166666666666
LeastUtilised,-1,-1,baseline,11011,22.0,145.65454545454548,3204.4000000000005,1,1,0.9708333333333333,0.6958333333333333,0.9729166666666667,0.825
LeastUtilised,-1,-1,baseline,11012,17.0,168.1588235294117,2858.699999999999,1,0,0.8583333333333333,0.5104166666666666,0.8875,0.7291666666666666
LeastUtilised,-1,-1,baseline,11013,20.0,147.09499999999997,2941.899999999999,1,1,0.9645833333333333,0.5458333333333333,0.94375,0.76875
LeastUtilised,-1,-1,baseline,11014,23.0,132.13478260869576,3039.100000000002,1,1,0.9375,0.6916666666666667,0.9854166666666667,0.91875
LeastUtilised,-1,-1,baseline,11015,21.0,138.27619047619044,2903.7999999999993,1,1,0.9520833333333333,0.5625,0.9479166666666666,0.8333333333333334
LeastUtilised,-1,-1,baseline,11016,21.0,138.39523809523806,2906.2999999999993,1,1,0.9270833333333334,0.6083333333333333,0.9625,0.8645833333333334
LeastUtilised,-1,-1,baseline,11017,21.0,151.8571428571429,3189.0000000000005,1,1,0.9854166666666667,0.79375,0.9541666666666667,0.7625
LeastUtilised,-1,-1,baseline,11018,17.0,163.94705882352952,2787.1000000000017,1,0,0.91875,0.5541666666666667,0.8875,0.80625
LeastUtilised,-1,-1,baseline,11019,19.0,151.1526315789474,2871.9000000000005,1,1,0.9354166666666667,0.5583333333333333,0.9041666666666667,0.80625
LeastUtilised,-1,-1,baseline,11020,17.0,170.11764705882337,2891.9999999999973,1,0,0.90625,0.5229166666666667,0.96875,0.8291666666666667
LeastUtilised,-1,-1,baseline,11021,21.0,135.9142857142857,2854.2,1,1,0.9416666666666667,0.6916666666666667,0.9229166666666667,0.8666666666666667
LeastUtilised,-1,-1,baseline,11022,18.0,151.4888888888889,2726.8,1,1,0.9645833333333333,0.6125,0.9604166666666667,0.76875
LeastUtilised,-1,-1,baseline,11023,19.0,132.80526315789473,2523.2999999999997,1,1,0.7375,0.49583333333333335,0.9416666666666667,0.7854166666666667
LeastUtilised,-1,-1,baseline,11024,19.0,173.79999999999995,3302.1999999999994,1,1,0.99375,0.8104166666666667,0.9729166666666667,0.8458333333333333
LeastUtilised,-1,-1,baseline,11025,21.0,111.23333333333332,2335.8999999999996,1,1,0.7645833333333333,0.47291666666666665,0.925,0.6083333333333333
LeastUtilised,-1,-1,baseline,11026,20.0,131.44,2628.7999999999997,1,1,0.7833333333333333,0.63125,0.9208333333333333,0.8104166666666667
LeastUtilised,-1,-1,baseline,11027,21.0,134.8,2830.8,1,1,0.8958333333333334,0.6,0.9375,0.8125
LeastUtilised,-1,-1,baseline,11028,25.0,113.23600000000002,2830.9000000000005,1,1,0.90625,0.6291666666666667,0.9833333333333333,0.8791666666666667
LeastUtilised,-1,-1,baseline,11029,19.0,148.62105263157892,2823.7999999999993,1,1,0.9166666666666666,0.63125,0.9125,0.725
LeastUtilised,-1,-1,baseline,11030,20.0,136.7,2734.0,1,1,0.8395833333333333,0.61875,0.975,0.825
