method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
ShortestQueue,-1,-1,baseline,11000,19.0,126.46842105263156,2402.8999999999996,1,1,0.7958333333333333,0.48333333333333334,0.8625,0.8854166666666666
ShortestQueue,-1,-1,baseline,11001,22.0,143.76818181818192,3162.900000000002,1,1,0.9354166666666667,0.8666666666666667,0.96875,0.9416666666666667
ShortestQueue,-1,-1,baseline,11002,17.0,171.17647058823525,2909.999999999999,1,0,0.8916666666666667,0.7854166666666667,0.84375,0.83125
ShortestQueue,-1,-1,baseline,11003,20.0,125.85499999999999,2517.1,1,1,0.6479166666666667,0.4583333333333333,0.96875,0.9104166666666667
ShortestQueue,-1,-1,baseline,11004,19.0,152.37368421052625,2895.0999999999985,1,1,0.9104166666666667,0.75,0.9166666666666666,0.8479166666666667
ShortestQueue,-1,-1,baseline,11005,22.0,126.07272727272729,2773.6000000000004,1,1,0.725,0.66875,0.9604166666666667,0.91875
ShortestQueue,-1,-1,baseline,11006,18.0,148.40555555555554,2671.2999999999997,1,1,0.7208333333333333,0.6104166666666667,0.9395833333333333,0.91875
ShortestQueue,-1,-1,baseline,11007,19.0,129.47894736842107,2460.1000000000004,1,1,0.6895833333333333,0.54375,0.9770833333333333,0.9041666666666667
ShortestQueue,-1,-1,baseline,11008,21.0,134.9571428571428,2834.099999999999,1,1,0.8333333333333334,0.73125,0.93125,0.8958333333333334
ShortestQueue,-1,-1,baseline,11009,22.0,126.70454545454545,2787.5,1,1,0.8916666666666667,0.7395833333333334,0.96875,0.91875
ShortestQueue,-1,-1,baseline,11010,22.0,133.37272727272725,2934.1999999999994,1,1,0.75625,0.6479166666666667,0.9354166666666667,0.8854166666666666
ShortestQueue,-1,-1,baseline,11011,21.0,135.99523809523814,2855.900000000001,1,1,0.88125,0.7541666666666667,0.9729166666666667,0.9458333333333333
ShortestQueue,-1,-1,baseline,11012,20.0,133.39000000000001,2667.8,1,1,0.7645833333333333,0.6791666666666667,0.8875,0.8125
ShortestQueue,-1,-1,baseline,11013,20.0,146.79500000000002,2935.9,1,1,0.8520833333333333,0.7791666666666667,0.94375,0.8895833333333333
ShortestQueue,-1,-1,baseline,11014,25.0,113.66800000000003,2841.7000000000007,1,1,0.7895833333333333,0.675,0.9708333333333333,0.91875
ShortestQueue,-1,-1,baseline,11015,21.0,132.7619047619047,2787.9999999999986,1,1,0.85625,0.6770833333333334,0.9479166666666666,0.9145833333333333
ShortestQueue,-1,-1,baseline,11016,20.0,153.61500000000004,3072.3000000000006,1,1,0.80625,0.7333333333333333,0.9604166666666667,0.9125
ShortestQueue,-1,-1,baseline,11017,18.0,177.01666666666668,3186.3,1,1,0.9520833333333333,0.8541666666666666,0.9541666666666667,0.9208333333333333
ShortestQueue,-1,-1,baseline,11018,20.0,147.37499999999994,2947.4999999999986,1,1,0.9166666666666666,0.8354166666666667,0.8958333333333334,0.8916666666666667
ShortestQueue,-1,-1,baseline,11019,19.0,140.921052631579,2677.500000000001,1,1,0.8145833333333333,0.7333333333333333,0.9041666666666667,0.8625
ShortestQueue,-1,-1,baseline,11020,22.0,123.57727272727271,2718.7,1,1,0.8020833333333334,0.7083333333333334,0.95625,0.9395833333333333
ShortestQueue,-1,-1,baseline,11021,21.0,130.92857142857133,2749.499999999998,1,1,0.8083333333333333,0.6666666666666666,0.9229166666666667,0.9104166666666667
ShortestQueue,-1,-1,baseline,11022,19.0,145.67894736842103,2767.8999999999996,1,1,0.8958333333333334,0.6916666666666667,0.9604166666666667,0.8458333333333333
ShortestQueue,-1,-1,baseline,11023,20.0,141.16,2823.2,1,1,0.8979166666666667,0.7125,0.9416666666666667,0.8958333333333334
ShortestQueue,-1,-1,baseline,11024,22.0,157.02727272727265,3454.599999999998,1,1,0.99375,0.975,0.9729166666666667,0.9083333333333333
ShortestQueue,-1,-1,baseline,11025,21.0,126.66666666666671,2660.000000000001,1,1,0.7916666666666666,0.68125,0.925,0.8104166666666667
ShortestQueue,-1,-1,baseline,11026,17.0,156.2,2655.3999999999996,1,0,0.7833333333333333,0.7229166666666667,0.9208333333333333,0.8833333333333333
ShortestQueue,-1,-1,baseline,11027,18.0,165.48333333333335,2978.7000000000003,1,1,0.8354166666666667,0.8125,0.9375,0.88125
ShortestQueue,-1,-1,baseline,11028,20.0,147.44000000000005,2948.800000000001,1,1,0.85,0.7458333333333333,0.9833333333333333,0.9333333333333333
ShortestQueue,-1,-1,baseline,11029,18.0,161.05555555555554,2899.0,1,1,0.8479166666666667,0.7604166666666666,0.9125,0.81875
ShortestQueue,-1,-1,baseline,11030,22.0,125.04545454545456,2751.0000000000005,1,1,0.8583333333333333,0.5791666666666667,0.975,0.9270833333333334
