method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
CostMinimising,-1,-1,baseline,11000,15.0,252.1566666666665,3782.3499999999976,0,0,0.0,0.9666666666666667,0.0,0.0,0.9375,0.0,0.35208333333333336
CostMinimising,-1,-1,baseline,11001,16.0,273.93437500000016,4382.950000000003,0,0,0.0,0.9958333333333333,0.0,0.0,0.975,0.0,0.325
CostMinimising,-1,-1,baseline,11002,17.0,235.1,3996.7,0,0,0.008333333333333333,0.9354166666666667,0.022916666666666665,0.0,0.94375,0.010416666666666666,0.3375
CostMinimising,-1,-1,baseline,11003,15.0,293.5533333333334,4403.300000000001,0,0,0.0,0.99375,0.0,0.0,0.9708333333333333,0.0,0.30625
CostMinimising,-1,-1,baseline,11004,15.0,259.71999999999986,3895.7999999999975,0,0,0.0,0.9770833333333333,0.0,0.0,0.94375,0.0,0.32083333333333336
CostMinimising,-1,-1,baseline,11005,15.0,241.66666666666666,3625.0,0,0,0.0,0.99375,0.0,0.0,0.9645833333333333,0.0,0.35833333333333334
CostMinimising,-1,-1,baseline,11006,16.0,240.0499999999998,3840.799999999997,0,0,0.014583333333333334,0.95625,0.027083333333333334,0.0,0.9645833333333333,0.008333333333333333,0.34791666666666665
CostMinimising,-1,-1,baseline,11007,17.0,189.3970588235294,3219.7499999999995,0,0,0.010416666666666666,0.9770833333333333,0.03125,0.0,0.9604166666666667,0.008333333333333333,0.3333333333333333
CostMinimising,-1,-1,baseline,11008,16.0,267.86875000000003,4285.900000000001,0,0,0.0,0.9729166666666667,0.0,0.0,0.95,0.0,0.3770833333333333
CostMinimising,-1,-1,baseline,11009,15.0,268.96000000000015,4034.4000000000024,0,0,0.0,0.9979166666666667,0.0,0.0,0.975,0.0,0.30416666666666664
CostMinimising,-1,-1,baseline,11010,15.0,273.6033333333331,4104.0499999999965,0,0,0.0,0.9916666666666667,0.0,0.0,0.95,0.0,0.31875
