method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
FastServerFirst,-1,-1,baseline,11000,30.0,146.37500000000003,4391.250000000001,1,0,0.93125,0.0,0.9416666666666667,0.0,0.0,0.3416666666666667,0.0
FastServerFirst,-1,-1,baseline,11001,31.0,188.91129032258064,5856.25,1,0,0.99375,0.0,0.98125,0.0,0.0,0.33958333333333335,0.0
FastServerFirst,-1,-1,baseline,11002,28.0,164.88214285714295,4616.700000000003,1,0,0.9354166666666667,0.0,0.94375,0.0,0.0,0.29791666666666666,0.0
FastServerFirst,-1,-1,baseline,11003,29.0,154.10344827586215,4469.000000000003,1,0,0.9625,0.0,0.9791666666666666,0.0,0.0,0.3145833333333333,0.0
FastServerFirst,-1,-1,baseline,11004,31.0,143.65000000000018,4453.150000000005,1,0,0.9770833333333333,0.0,0.9520833333333333,0.0,0.0,0.35,0.0
FastServerFirst,-1,-1,baseline,11005,30.0,152.28500000000022,4568.550000000007,1,0,0.99375,0.0,0.9729166666666667,0.0,0.0,0.29791666666666666,0.0
FastServerFirst,-1,-1,baseline,11006,30.0,147.1100000000001,4413.300000000003,1,0,0.9645833333333333,0.0,0.9854166666666667,0.0,0.0,0.33125,0.0
FastServerFirst,-1,-1,baseline,11007,32.0,137.22187500000018,4391.100000000006,1,0,0.9854166666666667,0.0,0.9895833333333334,0.0,0.0,0.31875,0.0
FastServerFirst,-1,-1,baseline,11008,30.0,170.64666666666685,5119.400000000005,1,0,0.9729166666666667,0.0,0.9583333333333334,0.0,0.0,0.3104166666666667,0.0
FastServerFirst,-1,-1,baseline,11009,28.0,174.83928571428592,4895.5000000000055,1,0,0.9979166666666667,0.0,0.9833333333333333,0.0,0.0,0.3020833333333333,0.0
FastServerFirst,-1,-1,baseline,11010,28.0,177.52500000000003,4970.700000000001,1,0,0.9916666666666667,0.0,0.9604166666666667,0.0,0.0,0.29583333333333334,0.0
FastServerFirst,-1,-1,baseline,11011,32.0,136.02031250000027,4352.650000000009,1,0,0.9958333333333333,0.0,0.9854166666666667,0.0,0.0,0.3458333333333333,0.0
FastServerFirst,-1,-1,baseline,11012,32.0,140.2250000000001,4487.2000000000035,1,0,0.9583333333333334,0.0,0.9354166666666667,0.0,0.0,0.35833333333333334,0.0
FastServerFirst,-1,-1,baseline,11013,29.0,174.4827586206897,5060.000000000002,1,0,0.9770833333333333,0.0,0.9645833333333333,0.0,0.0,0.3145833333333333,0.0
FastServerFirst,-1,-1,baseline,11014,34.0,145.62352941176488,4951.200000000006,1,0,1.0,0.0,0.9895833333333334,0.0,0.0,0.35833333333333334,0.0
FastServerFirst,-1,-1,baseline,11015,30.0,153.03166666666678,4590.9500000000035,1,0,0.9958333333333333,0.0,0.9729166666666667,0.0,0.0,0.30416666666666664,0.0
FastServerFirst,-1,-1,baseline,11016,32.0,159.7671875000001,5112.550000000003,1,0,0.9895833333333334,0.0,0.9770833333333333,0.0,0.0,0.34375,0.0
FastServerFirst,-1,-1,baseline,11017,28.0,161.93035714285725,4534.050000000003,1,0,0.9916666666666667,0.0,0.9729166666666667,0.0,0.0,0.29583333333333334,0.0
FastServerFirst,-1,-1,baseline,11018,30.0,168.83500000000018,5065.050000000006,1,0,0.9729166666666667,0.0,0.9625,0.0,0.0,0.30416666666666664,0.0
FastServerFirst,-1,-1,baseline,11019,27.0,183.74074074074082,4961.000000000002,1,0,0.9604166666666667,0.0,0.9354166666666667,0.0,0.0,0.28125,0.0
FastServerFirst,-1,-1,baseline,11020,32.0,144.50937500000006,4624.300000000002,1,0,0.9729166666666667,0.0,0.98125,0.0,0.0,0.34375,0.0
FastServerFirst,-1,-1,baseline,11021,30.0,147.39333333333346,4421.800000000004,1,0,0.9666666666666667,0.0,0.975,0.0,0.0,0.34375,0.0
FastServerFirst,-1,-1,baseline,11022,29.0,155.04827586206915,4496.400000000005,1,0,0.9833333333333333,0.0,0.9791666666666666,0.0,0.0,0.325,0.0
FastServerFirst,-1,-1,baseline,11023,32.0,144.2062500000001,4614.600000000003,1,0,0.9729166666666667,0.0,0.9645833333333333,0.0,0.0,0.31875,0.0
FastServerFirst,-1,-1,baseline,11024,32.0,167.89531250000013,5372.650000000004,1,0,0.9958333333333333,0.0,0.975,0.0,0.0,0.32916666666666666,0.0
FastServerFirst,-1,-1,baseline,11025,29.0,135.0551724137933,3916.600000000005,1,0,0.9229166666666667,0.0,0.9645833333333333,0.0,0.0,0.29583333333333334,0.0
FastServerFirst,-1,-1,baseline,11026,30.0,168.9233333333335,5067.700000000004,1,0,0.9666666666666667,0.0,0.9854166666666667,0.0,0.0,0.31666666666666665,0.0
FastServerFirst,-1,-1,baseline,11027,30.0,165.6350000000001,4969.050000000003,1,0,0.9875,0.0,0.9645833333333333,0.0,0.0,0.3333333333333333,0.0
FastServerFirst,-1,-1,baseline,11028,32.0,151.11406250000022,4835.650000000007,1,0,0.9895833333333334,0.0,0.9895833333333334,0.0,0.0,0.29375,0.0
FastServerFirst,-1,-1,baseline,11029,29.0,175.78793103448282,5097.850000000002,1,0,0.9583333333333334,0.0,0.9458333333333333,0.0,0.0,0.3125,0.0
FastServerFirst,-1,-1,baseline,11030,32.0,148.62500000000017,4756.0000000000055,1,0,0.9854166666666667,0.0,0.9833333333333333,0.0,0.0,0.32083333333333336,0.0
FastServerFirst,-1,-1,baseline,11031,28.0,157.18214285714308,4401.100000000006,1,0,0.94375,0.0,0.95625,0.0,0.0,0.30833333333333335,0.0
FastServerFirst,-1,-1,baseline,11032,30.0,166.09666666666692,4982.900000000008,1,0,0.9770833333333333,0.0,0.9645833333333333,0.0,0.0,0.3020833333333333,0.0
FastServerFirst,-1,-1,baseline,11033,27.0,181.2481481481484,4893.700000000007,1,0,0.975,0.0,0.9708333333333333,0.0,0.0,0.30416666666666664,0.0
FastServerFirst,-1,-1,baseline,11034,30.0,160.72000000000006,4821.600000000001,1,0,0.9854166666666667,0.0,0.975,0.0,0.0,0.30416666666666664,0.0
FastServerFirst,-1,-1,baseline,11035,31.0,141.88064516129046,4398.300000000004,1,0,0.9791666666666666,0.0,0.9916666666666667,0.0,0.0,0.32083333333333336,0.0
