method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
LeastUtilised,-1,-1,baseline,11000,54.0,75.79814814814839,4093.1000000000126,1,1,0.7729166666666667,0.6020833333333333,0.85,0.725,0.6854166666666667,0.3854166666666667,0.31875
LeastUtilised,-1,-1,baseline,11001,63.0,78.07142857142884,4918.500000000017,1,1,0.9708333333333333,0.7,0.9770833333333333,0.775,0.6895833333333333,0.4354166666666667,0.4479166666666667
LeastUtilised,-1,-1,baseline,11002,53.0,81.18490566037772,4302.800000000019,1,1,0.8208333333333333,0.5916666666666667,0.8270833333333333,0.7541666666666667,0.6583333333333333,0.38958333333333334,0.29375
LeastUtilised,-1,-1,baseline,11003,58.0,72.41465517241411,4200.050000000018,1,1,0.7270833333333333,0.64375,0.9583333333333334,0.74375,0.7166666666666667,0.4375,0.3875
LeastUtilised,-1,-1,baseline,11004,58.0,71.31637931034507,4136.350000000014,1,1,0.79375,0.6333333333333333,0.9375,0.7354166666666667,0.6666666666666666,0.42916666666666664,0.31666666666666665
LeastUtilised,-1,-1,baseline,11005,57.0,72.84298245614086,4152.050000000029,1,1,0.7958333333333333,0.5125,0.9729166666666667,0.71875,0.6854166666666667,0.4479166666666667,0.22708333333333333
LeastUtilised,-1,-1,baseline,11006,55.0,79.1072727272732,4350.900000000026,1,1,0.86875,0.5,0.9583333333333334,0.70625,0.6791666666666667,0.4166666666666667,0.3229166666666667
LeastUtilised,-1,-1,baseline,11007,57.0,72.64824561403537,4140.950000000016,1,1,0.8041666666666667,0.5666666666666667,0.9541666666666667,0.6854166666666667,0.6958333333333333,0.4041666666666667,0.3104166666666667
LeastUtilised,-1,-1,baseline,11008,60.0,80.16833333333372,4810.100000000023,1,1,0.9125,0.6145833333333334,0.9104166666666667,0.75,0.7166666666666667,0.4375,0.3458333333333333
LeastUtilised,-1,-1,baseline,11009,57.0,87.44035087719341,4984.100000000024,1,1,0.9854166666666667,0.6375,0.9416666666666667,0.7333333333333333,0.70625,0.4354166666666667,0.3375
LeastUtilised,-1,-1,baseline,11010,61.0,72.41393442622976,4417.2500000000155,1,1,0.8395833333333333,0.5854166666666667,0.9166666666666666,0.8291666666666667,0.69375,0.4270833333333333,0.4
LeastUtilised,-1,-1,baseline,11011,61.0,88.94836065573834,5425.850000000039,1,1,0.9583333333333334,0.6583333333333333,0.95,0.7708333333333334,0.75,0.4895833333333333,0.325
LeastUtilised,-1,-1,baseline,11012,56.0,87.40178571428613,4894.500000000024,1,1,0.8958333333333334,0.7083333333333334,0.925,0.7583333333333333,0.6958333333333333,0.44375,0.325
LeastUtilised,-1,-1,baseline,11013,60.0,85.8733333333338,5152.400000000028,1,1,0.9770833333333333,0.6791666666666667,0.9625,0.7333333333333333,0.7416666666666667,0.45625,0.35208333333333336
LeastUtilised,-1,-1,baseline,11014,59.0,86.90084745762766,5127.150000000032,1,1,0.9354166666666667,0.7333333333333333,0.9354166666666667,0.8354166666666667,0.7416666666666667,0.44583333333333336,0.32083333333333336
LeastUtilised,-1,-1,baseline,11015,58.0,74.73448275862107,4334.600000000022,1,1,0.8854166666666666,0.6583333333333333,0.93125,0.7270833333333333,0.7458333333333333,0.41875,0.38125
LeastUtilised,-1,-1,baseline,11016,56.0,77.77142857142881,4355.2000000000135,1,1,0.8145833333333333,0.56875,0.9166666666666666,0.6833333333333333,0.7479166666666667,0.37083333333333335,0.45416666666666666
LeastUtilised,-1,-1,baseline,11017,61.0,71.2557377049183,4346.600000000017,1,1,0.9041666666666667,0.5854166666666667,0.9729166666666667,0.7333333333333333,0.6875,0.475,0.35
LeastUtilised,-1,-1,baseline,11018,55.0,75.85181818181843,4171.850000000014,1,1,0.7645833333333333,0.5,0.9104166666666667,0.7520833333333333,0.675,0.4083333333333333,0.4125
LeastUtilised,-1,-1,baseline,11019,53.0,83.04716981132108,4401.500000000017,1,1,0.88125,0.6666666666666666,0.8729166666666667,0.725,0.6833333333333333,0.38125,0.38125
LeastUtilised,-1,-1,baseline,11020,52.0,77.4576923076926,4027.800000000015,1,1,0.7520833333333333,0.43333333333333335,0.90625,0.6916666666666667,0.6791666666666667,0.4041666666666667,0.3541666666666667
LeastUtilised,-1,-1,baseline,11021,55.0,86.05727272727322,4733.150000000027,1,1,0.9333333333333333,0.6583333333333333,0.9375,0.725,0.6416666666666667,0.4479166666666667,0.3020833333333333
LeastUtilised,-1,-1,baseline,11022,56.0,89.63035714285762,5019.300000000027,1,1,0.99375,0.6729166666666667,0.9354166666666667,0.7854166666666667,0.8166666666666667,0.3645833333333333,0.40208333333333335
LeastUtilised,-1,-1,baseline,11023,59.0,83.01949152542413,4898.150000000023,1,1,0.9104166666666667,0.7229166666666667,0.9,0.78125,0.7958333333333333,0.4270833333333333,0.33958333333333335
LeastUtilised,-1,-1,baseline,11024,59.0,82.5889830508479,4872.750000000026,1,1,0.96875,0.6354166666666666,0.9770833333333333,0.75625,0.7354166666666667,0.43333333333333335,0.35625
LeastUtilised,-1,-1,baseline,11025,53.0,77.6839622641513,4117.250000000019,1,1,0.7375,0.5625,0.9270833333333334,0.6479166666666667,0.5875,0.375,0.34791666666666665
LeastUtilised,-1,-1,baseline,11026,55.0,82.51181818181843,4538.150000000013,1,1,0.8645833333333334,0.64375,0.9125,0.7875,0.5958333333333333,0.425,0.33541666666666664
LeastUtilised,-1,-1,baseline,11027,53.0,89.57452830188717,4747.45000000002,1,1,0.8916666666666667,0.6104166666666667,0.9645833333333333,0.65,0.6395833333333333,0.43125,0.2125
LeastUtilised,-1,-1,baseline,11028,54.0,75.84074074074098,4095.4000000000133,1,1,0.74375,0.6020833333333333,0.9416666666666667,0.7291666666666666,0.59375,0.41458333333333336,0.32083333333333336
LeastUtilised,-1,-1,baseline,11029,57.0,95.4482456140352,5440.550000000007,1,1,0.8979166666666667,0.6895833333333333,0.9458333333333333,0.7479166666666667,0.6583333333333333,0.40208333333333335,0.44583333333333336
LeastUtilised,-1,-1,baseline,11030,56.0,83.54285714285746,4678.400000000018,1,1,0.9541666666666667,0.61875,0.875,0.7729166666666667,0.6416666666666667,0.39375,0.33541666666666664
LeastUtilised,-1,-1,baseline,11031,55.0,75.94181818181853,4176.800000000019,1,1,0.8041666666666667,0.5833333333333334,0.9041666666666667,0.7104166666666667,0.6520833333333333,0.41041666666666665,0.33958333333333335
LeastUtilised,-1,-1,baseline,11032,58.0,83.15172413793152,4822.800000000028,1,1,0.8875,0.6479166666666667,0.9645833333333333,0.75625,0.7520833333333333,0.46041666666666664,0.25416666666666665
LeastUtilised,-1,-1,baseline,11033,52.0,84.97788461538485,4418.850000000012,1,1,0.8416666666666667,0.5770833333333333,0.9375,0.7416666666666667,0.6,0.39166666666666666,0.3375
LeastUtilised,-1,-1,baseline,11034,57.0,86.8622807017548,4951.150000000023,1,1,0.9708333333333333,0.5875,0.84375,0.8104166666666667,0.68125,0.41041666666666665,0.3541666666666667
LeastUtilised,-1,-1,baseline,11035,51.0,76.99019607843168,3926.500000000016,1,1,0.675,0.4583333333333333,0.9583333333333334,0.6520833333333333,0.7020833333333333,0.37916666666666665,0.33958333333333335
LeastUtilised,-1,-1,baseline,11036,60.0,78.73583333333363,4724.150000000018,1,1,0.9083333333333333,0.5875,0.9333333333333333,0.7791666666666667,0.6375,0.45625,0.3458333333333333
LeastUtilised,-1,-1,baseline,11037,56.0,71.03750000000045,3978.1000000000254,1,1,0.7583333333333333,0.5770833333333333,0.9104166666666667,0.7083333333333334,0.6479166666666667,0.40625,0.26666666666666666
LeastUtilised,-1,-1,baseline,11038,54.0,78.31481481481524,4229.000000000023,1,1,0.8416666666666667,0.5729166666666666,0.9104166666666667,0.6020833333333333,0.70625,0.4041666666666667,0.36041666666666666
LeastUtilised,-1,-1,baseline,11039,59.0,80.42542372881375,4745.100000000011,1,1,0.9333333333333333,0.6729166666666667,0.9395833333333333,0.76875,0.6958333333333333,0.4041666666666667,0.44583333333333336
LeastUtilised,-1,-1,baseline,11040,58.0,82.3431034482762,4775.90000000002,1,1,0.9,0.64375,0.875,0.71875,0.6645833333333333,0.45625,0.3375
