method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
v4,999,1400000,fallback,11000,38.0,103.78552631578944,3943.8499999999985,0,0,0.19375,0.9666666666666667,0.3458333333333333,0.8375,0.42291666666666666,0.11875,0.55
v4,999,1400000,fallback,11001,28.0,164.54464285714272,4607.249999999996,0,0,0.0,0.9958333333333333,0.0875,0.7854166666666667,0.3145833333333333,0.035416666666666666,0.5145833333333333
v4,999,1400000,fallback,11002,29.0,145.66034482758562,4224.149999999983,0,0,0.04583333333333333,0.9104166666666667,0.16458333333333333,0.6520833333333333,0.6604166666666667,0.05416666666666667,0.5583333333333333
v4,999,1400000,fallback,11003,41.0,90.90487804878019,3727.0999999999876,0,0,0.14791666666666667,0.99375,0.3770833333333333,0.9708333333333333,0.4041666666666667,0.12291666666666666,0.6354166666666666
v4,999,1400000,fallback,11004,28.0,136.19821428571393,3813.5499999999897,0,0,0.0,0.9770833333333333,0.23125,0.7395833333333334,0.23541666666666666,0.06875,0.4666666666666667
v4,999,1400000,fallback,11005,29.0,133.57241379310312,3873.5999999999904,0,0,0.0,0.99375,0.1875,0.6583333333333333,0.37916666666666665,0.06458333333333334,0.50625
v4,999,1400000,fallback,11006,30.0,122.59333333333322,3677.7999999999965,0,0,0.05625,0.9479166666666666,0.20208333333333334,0.8041666666666667,0.4041666666666667,0.06041666666666667,0.5229166666666667
v4,999,1400000,fallback,11007,35.0,95.68428571428515,3348.9499999999803,0,0,0.13333333333333333,0.95625,0.19791666666666666,0.96875,0.34375,0.075,0.5458333333333333
v4,999,1400000,fallback,11008,28.0,129.58749999999984,3628.4499999999953,0,0,0.0,0.9729166666666667,0.029166666666666667,0.725,0.4583333333333333,0.0125,0.5395833333333333
v4,999,1400000,fallback,11009,29.0,135.76034482758598,3937.049999999994,0,0,0.06458333333333334,0.9979166666666667,0.17916666666666667,0.8166666666666667,0.34375,0.05625,0.6083333333333333
v4,999,1400000,fallback,11010,27.0,131.55925925925925,3552.0999999999995,0,0,0.029166666666666667,0.9916666666666667,0.07291666666666667,0.81875,0.35208333333333336,0.025,0.5541666666666667
v4,999,1400000,fallback,11011,35.0,114.5357142857138,4008.7499999999827,0,0,0.0875,0.9666666666666667,0.19583333333333333,0.875,0.6354166666666666,0.058333333333333334,0.575
