method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v6,42,100000,fallback,11000,19.0,136.39999999999998,2591.5999999999995,1,1,0.85,0.37083333333333335,0.8083333333333333,0.8854166666666666
v6,42,100000,fallback,11001,19.0,160.20526315789476,3043.9000000000005,1,1,0.99375,0.3875,0.8145833333333333,0.9333333333333333
v6,42,100000,fallback,11002,17.0,151.42352941176463,2574.199999999999,1,0,0.8583333333333333,0.4270833333333333,0.8041666666666667,0.8104166666666667
v6,42,100000,fallback,11003,18.0,162.78333333333336,2930.1000000000004,1,1,0.9854166666666667,0.28958333333333336,0.8083333333333333,0.95625
v6,42,100000,fallback,11004,17.0,163.02352941176466,2771.399999999999,1,0,0.9604166666666667,0.28541666666666665,0.775,0.8770833333333333
v6,42,100000,fallback,11005,19.0,155.41052631578964,2952.8000000000034,1,1,0.9875,0.36041666666666666,0.775,0.9104166666666667
v6,42,100000,fallback,11006,17.0,142.97647058823526,2430.5999999999995,1,0,0.83125,0.21041666666666667,0.7229166666666667,0.9541666666666667
v6,42,100000,fallback,11007,17.0,153.3058823529412,2606.2000000000007,1,0,0.8895833333333333,0.19791666666666666,0.775,0.9395833333333333
v6,42,100000,fallback,11008,19.0,152.60000000000002,2899.4000000000005,1,1,0.95625,0.46458333333333335,0.75625,0.9041666666666667
v6,42,100000,fallback,11009,15.0,176.24666666666675,2643.700000000001,1,0,0.9958333333333333,0.3625,0.6458333333333334,0.9416666666666667
v6,42,100000,fallback,11010,17.0,167.09411764705877,2840.599999999999,1,0,0.9833333333333333,0.275,0.7291666666666666,0.8875
v6,42,100000,fallback,11011,19.0,141.31052631578942,2684.899999999999,1,1,0.99375,0.3333333333333333,0.6770833333333334,0.9458333333333333
v6,42,100000,fallback,11012,19.0,140.08947368421047,2661.699999999999,1,1,0.9104166666666667,0.41875,0.6354166666666666,0.8541666666666666
v6,42,100000,fallback,11013,18.0,161.82777777777773,2912.899999999999,1,1,0.9645833333333333,0.32083333333333336,0.7729166666666667,0.9416666666666667
v6,42,100000,fallback,11014,19.0,153.68947368421038,2920.099999999997,1,1,0.9979166666666667,0.3145833333333333,0.725,0.95
v6,42,100000,fallback,11015,19.0,134.57894736842104,2557.0,1,1,0.8541666666666666,0.31875,0.7354166666666667,0.9229166666666667
v6,42,100000,fallback,11016,19.0,135.41052631578938,2572.7999999999984,1,1,0.8958333333333334,0.3104166666666667,0.7020833333333333,0.9395833333333333
v6,42,100000,fallback,11017,17.0,170.39411764705875,2896.699999999999,1,0,0.9854166666666667,0.4666666666666667,0.8041666666666667,0.9208333333333333
v6,42,100000,fallback,11018,18.0,164.19444444444449,2955.500000000001,1,1,0.9541666666666667,0.3645833333333333,0.80625,0.8916666666666667
