method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v6,42,50000,fallback,11000,17.0,147.1647058823529,2501.7999999999993,0,0,0.47291666666666665,0.9229166666666667,0.8979166666666667,0.5416666666666666
v6,42,50000,fallback,11001,15.0,195.30666666666673,2929.600000000001,1,0,0.5875,0.99375,0.9645833333333333,0.39791666666666664
v6,42,50000,fallback,11002,16.0,166.8687499999999,2669.8999999999983,0,0,0.4166666666666667,0.9020833333333333,0.8604166666666667,0.75625
v6,42,50000,fallback,11003,18.0,154.87222222222235,2787.700000000002,1,1,0.6416666666666667,0.93125,0.9208333333333333,0.42291666666666666
v6,42,50000,fallback,11004,16.0,174.1312499999999,2786.0999999999985,1,0,0.5541666666666667,0.9604166666666667,0.9104166666666667,0.5354166666666667
v6,42,50000,fallback,11005,19.0,154.33157894736837,2932.2999999999993,1,1,0.5375,0.9875,0.9,0.59375
v6,42,50000,fallback,11006,16.0,161.35625,2581.7,0,0,0.45,0.8520833333333333,0.9729166666666667,0.55
v6,42,50000,fallback,11007,17.0,148.29411764705878,2520.9999999999995,1,0,0.5083333333333333,0.91875,0.9854166666666667,0.22708333333333333
v6,42,50000,fallback,11008,17.0,163.4529411764705,2778.6999999999985,1,0,0.53125,0.9479166666666666,0.9270833333333334,0.46458333333333335
v6,42,50000,fallback,11009,18.0,148.24999999999986,2668.4999999999973,1,1,0.5,0.9354166666666667,0.9333333333333333,0.9125
v6,42,50000,fallback,11010,15.0,177.96666666666655,2669.499999999998,1,0,0.5020833333333333,0.8958333333333334,0.9083333333333333,0.4354166666666667
v6,42,50000,fallback,11011,16.0,170.08124999999993,2721.299999999999,1,0,0.6020833333333333,0.9666666666666667,0.9729166666666667,0.22291666666666668
v6,42,50000,fallback,11012,19.0,146.90526315789467,2791.199999999999,1,1,0.5020833333333333,0.93125,0.88125,0.78125
v6,42,50000,fallback,11013,22.0,135.10454545454544,2972.2999999999997,1,1,0.6375,0.9645833333333333,0.8854166666666666,0.6104166666666667
v6,42,50000,fallback,11014,20.0,140.62499999999994,2812.499999999999,1,1,0.58125,0.91875,0.9458333333333333,0.8125
v6,42,50000,fallback,11015,16.0,174.95000000000005,2799.2000000000007,1,0,0.5104166666666666,0.9916666666666667,0.89375,0.48541666666666666
v6,42,50000,fallback,11016,17.0,151.27647058823533,2571.7000000000007,1,0,0.5333333333333333,0.8854166666666666,0.9375,0.3416666666666667
v6,42,50000,fallback,11017,15.0,196.72666666666666,2950.9,1,0,0.5833333333333334,0.9854166666666667,0.9270833333333334,0.3541666666666667
v6,42,50000,fallback,11018,18.0,154.78333333333325,2786.0999999999985,1,1,0.5041666666666667,0.9583333333333334,0.9375,0.6625
v6,42,50000,fallback,11019,19.0,129.64736842105268,2463.3000000000006,1,1,0.525,0.7625,0.88125,0.8541666666666666
v6,42,50000,fallback,11020,18.0,154.16666666666663,2774.9999999999995,1,1,0.5541666666666667,0.9729166666666667,0.9645833333333333,0.4041666666666667
v6,42,50000,fallback,11021,16.0,191.1875000000002,3059.000000000003,1,0,0.5895833333333333,0.9875,0.8833333333333333,0.5895833333333333
v6,42,50000,fallback,11022,13.0,207.02307692307687,2691.2999999999993,1,0,0.6208333333333333,0.9625,0.9604166666666667,0.22916666666666666
v6,42,50000,fallback,11023,17.0,157.0705882352942,2670.200000000001,1,0,0.6166666666666667,0.9708333333333333,0.89375,0.31875
v6,42,50000,fallback,11024,19.0,160.40526315789472,3047.7,1,1,0.5166666666666667,0.99375,0.9479166666666666,0.89375
v6,42,50000,fallback,11025,14.0,172.18571428571445,2410.600000000002,0,0,0.4479166666666667,0.8958333333333334,0.8229166666666666,0.17083333333333334
v6,42,50000,fallback,11026,16.0,149.925,2398.8,1,0,0.5625,0.7645833333333333,0.9333333333333333,0.5
v6,42,50000,fallback,11027,14.0,206.7285714285716,2894.2000000000025,1,0,0.525,0.9791666666666666,0.8770833333333333,0.6041666666666666
v6,42,50000,fallback,11028,19.0,161.78947368421052,3074.0,1,1,0.5729166666666666,0.9875,0.98125,0.7583333333333333
v6,42,50000,fallback,11029,18.0,145.17222222222227,2613.100000000001,0,1,0.48541666666666666,0.93125,0.9104166666666667,0.6104166666666667
v6,42,50000,fallback,11030,20.0,124.21000000000001,2484.2000000000003,0,1,0.46875,0.7729166666666667,0.9375,0.8708333333333333
v6,42,50000,fallback,11031,11.0,252.1727272727273,2773.9,1,0,0.5333333333333333,0.9770833333333333,0.9395833333333333,0.2916666666666667
v6,42,50000,fallback,11032,16.0,166.15625000000009,2658.5000000000014,1,0,0.5354166666666667,0.86875,0.9375,0.7291666666666666
v6,42,50000,fallback,11033,18.0,141.49444444444453,2546.9000000000015,0,1,0.46875,0.9604166666666667,0.9520833333333333,0.5291666666666667
v6,42,50000,fallback,11034,15.0,175.27333333333337,2629.1000000000004,1,0,0.5041666666666667,0.9625,0.8958333333333334,0.44583333333333336
v6,42,50000,fallback,11035,22.0,113.68181818181819,2501.0,1,1,0.50625,0.8229166666666666,0.9875,0.8270833333333333
v6,42,50000,fallback,11036,17.0,168.98235294117669,2872.7000000000035,0,0,0.42291666666666666,0.9229166666666667,0.88125,0.8354166666666667
v6,42,50000,fallback,11037,17.0,145.82352941176478,2479.0000000000014,0,0,0.38125,0.9020833333333333,0.9354166666666667,0.6291666666666667
v6,42,50000,fallback,11038,15.0,178.0999999999999,2671.4999999999986,0,0,0.4583333333333333,0.9208333333333333,0.89375,0.5083333333333333
v6,42,50000,fallback,11039,15.0,171.16000000000005,2567.400000000001,0,0,0.46458333333333335,0.9166666666666666,0.9541666666666667,0.6416666666666667
v6,42,50000,fallback,11040,13.0,210.1692307692306,2732.199999999998,1,0,0.5666666666666667,0.8875,0.8291666666666667,0.29583333333333334
v6,42,50000,fallback,11041,16.0,165.29999999999998,2644.7999999999997,0,0,0.4791666666666667,0.9583333333333334,0.8854166666666666,0.5375
v6,42,50000,fallback,11042,20.0,145.8050000000001,2916.1000000000017,1,1,0.5333333333333333,0.975,0.94375,0.8916666666666667
v6,42,50000,fallback,11043,17.0,170.58235294117648,2899.9,1,0,0.5645833333333333,0.9979166666666667,0.975,0.3625
v6,42,50000,fallback,11044,18.0,146.70555555555558,2640.7000000000003,1,1,0.5375,0.9104166666666667,0.8958333333333334,0.6104166666666667
v6,42,50000,fallback,11045,15.0,181.74666666666673,2726.2000000000007,1,0,0.5479166666666667,0.98125,0.8854166666666666,0.41458333333333336
v6,42,50000,fallback,11046,18.0,130.07777777777775,2341.3999999999996,0,1,0.34375,0.8604166666666667,0.8583333333333333,0.6229166666666667
v6,42,50000,fallback,11047,18.0,145.0222222222222,2610.3999999999996,1,1,0.5416666666666666,0.8895833333333333,0.875,0.625
v6,42,50000,fallback,11048,13.0,213.68461538461543,2777.9000000000005,1,0,0.6145833333333334,0.95,0.9229166666666667,0.2
v6,42,50000,fallback,11049,16.0,161.79999999999993,2588.799999999999,0,0,0.43125,0.875,0.925,0.575
