method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v6,42,100000,fallback,11000,16.0,182.66250000000002,2922.6000000000004,1,0,0.8916666666666667,0.6541666666666667,0.8833333333333333,0.5604166666666667
v6,42,100000,fallback,11001,17.0,180.63529411764705,3070.7999999999997,1,0,0.9645833333333333,0.5854166666666667,0.9416666666666667,0.54375
v6,42,100000,fallback,11002,15.0,186.36666666666665,2795.4999999999995,1,0,0.84375,0.5958333333333333,0.8875,0.5916666666666667
v6,42,100000,fallback,11003,16.0,179.7375,2875.8,1,0,0.7833333333333333,0.6708333333333333,0.9729166666666667,0.44166666666666665
v6,42,100000,fallback,11004,14.0,208.28571428571425,2915.9999999999995,1,0,0.9520833333333333,0.46458333333333335,0.9125,0.35
v6,42,100000,fallback,11005,17.0,156.39999999999992,2658.799999999999,1,0,0.6791666666666667,0.6625,0.9645833333333333,0.43125
v6,42,100000,fallback,11006,14.0,163.62142857142857,2290.7,1,0,0.5208333333333334,0.65625,0.9729166666666667,0.29583333333333334
v6,42,100000,fallback,11007,15.0,178.12666666666664,2671.8999999999996,1,0,0.6333333333333333,0.7729166666666667,0.9854166666666667,0.375
v6,42,100000,fallback,11008,14.0,175.3642857142858,2455.1000000000013,1,0,0.6416666666666667,0.49166666666666664,0.9270833333333334,0.31875
v6,42,100000,fallback,11009,17.0,157.8529411764706,2683.5000000000005,1,0,0.7625,0.7291666666666666,0.9666666666666667,0.5083333333333333
v6,42,100000,fallback,11010,20.0,140.035,2800.7,1,1,0.8729166666666667,0.5,0.95625,0.4479166666666667
v6,42,100000,fallback,11011,18.0,153.52222222222227,2763.400000000001,1,1,0.8770833333333333,0.66875,0.9729166666666667,0.36666666666666664
v6,42,100000,fallback,11012,16.0,179.64374999999993,2874.299999999999,1,0,0.9291666666666667,0.48125,0.8895833333333333,0.45416666666666666
v6,42,100000,fallback,11013,17.0,176.62941176470594,3002.7000000000007,1,0,0.9604166666666667,0.475,0.9333333333333333,0.475
v6,42,100000,fallback,11014,17.0,162.25882352941176,2758.4,1,0,0.8020833333333334,0.5625,0.9645833333333333,0.37916666666666665
v6,42,100000,fallback,11015,17.0,141.7294117647059,2409.4,1,0,0.5916666666666667,0.60625,0.95,0.41875
v6,42,100000,fallback,11016,16.0,150.4874999999999,2407.7999999999984,0,0,0.4875,0.7520833333333333,0.9604166666666667,0.34791666666666665
v6,42,100000,fallback,11017,15.0,185.1133333333334,2776.700000000001,1,0,0.7395833333333334,0.7395833333333334,0.9208333333333333,0.47708333333333336
v6,42,100000,fallback,11018,14.0,218.04285714285717,3052.6000000000004,1,0,0.9166666666666666,0.5416666666666666,0.8895833333333333,0.46041666666666664
v6,42,100000,fallback,11019,14.0,178.9928571428571,2505.8999999999996,1,0,0.54375,0.6791666666666667,0.9083333333333333,0.4666666666666667
v6,42,100000,fallback,11020,16.0,167.84374999999997,2685.4999999999995,1,0,0.6854166666666667,0.6979166666666666,0.9354166666666667,0.3020833333333333
v6,42,100000,fallback,11021,15.0,173.15999999999997,2597.3999999999996,1,0,0.5291666666666667,0.8208333333333333,0.9541666666666667,0.33541666666666664
v6,42,100000,fallback,11022,16.0,166.94374999999994,2671.099999999999,1,0,0.8354166666666667,0.625,0.9520833333333333,0.4083333333333333
v6,42,100000,fallback,11023,15.0,170.3133333333334,2554.7000000000007,1,0,0.5875,0.6604166666666667,0.9333333333333333,0.3
v6,42,100000,fallback,11024,18.0,190.9555555555558,3437.2000000000044,1,1,0.98125,0.6979166666666666,0.975,0.5166666666666667
v6,42,100000,fallback,11025,16.0,130.03750000000002,2080.6000000000004,0,0,0.4895833333333333,0.4979166666666667,0.8583333333333333,0.36666666666666664
v6,42,100000,fallback,11026,17.0,147.55294117647057,2508.3999999999996,1,0,0.71875,0.6645833333333333,0.9729166666666667,0.45
v6,42,100000,fallback,11027,17.0,164.92941176470592,2803.8000000000006,1,0,0.8520833333333333,0.4979166666666667,0.925,0.44166666666666665
v6,42,100000,fallback,11028,15.0,183.47333333333336,2752.1000000000004,1,0,0.8416666666666667,0.5041666666666667,0.9333333333333333,0.5208333333333334
v6,42,100000,fallback,11029,17.0,188.1058823529413,3197.800000000002,1,0,0.925,0.65625,0.8791666666666667,0.5708333333333333
v6,42,100000,fallback,11030,16.0,152.98750000000004,2447.8000000000006,1,0,0.6770833333333334,0.5583333333333333,0.93125,0.5229166666666667
v6,42,100000,fallback,11031,18.0,157.57777777777775,2836.3999999999996,1,1,0.9333333333333333,0.6083333333333333,0.90625,0.5333333333333333
v6,42,100000,fallback,11032,13.0,215.43076923076922,2800.6,1,0,0.8354166666666667,0.475,0.9354166666666667,0.4375
v6,42,100000,fallback,11033,17.0,148.0294117647059,2516.5000000000005,1,0,0.6520833333333333,0.625,0.8916666666666667,0.475
v6,42,100000,fallback,11034,13.0,218.4692307692308,2840.1000000000004,1,0,0.80625,0.5958333333333333,0.9041666666666667,0.34375
v6,42,100000,fallback,11035,15.0,194.52666666666664,2917.8999999999996,1,0,0.8229166666666666,0.6020833333333333,0.9875,0.3229166666666667
v6,42,100000,fallback,11036,16.0,193.17499999999993,3090.799999999999,1,0,0.9145833333333333,0.4895833333333333,0.8895833333333333,0.5020833333333333
v6,42,100000,fallback,11037,16.0,155.45000000000007,2487.200000000001,1,0,0.60625,0.7208333333333333,0.9229166666666667,0.4979166666666667
v6,42,100000,fallback,11038,13.0,221.8307692307691,2883.7999999999984,1,0,0.91875,0.4041666666666667,0.9020833333333333,0.39791666666666664
v6,42,100000,fallback,11039,16.0,168.91875,2702.7,1,0,0.64375,0.7833333333333333,0.9208333333333333,0.38125
v6,42,100000,fallback,11040,14.0,196.24999999999991,2747.4999999999986,1,0,0.7291666666666666,0.68125,0.8333333333333334,0.44583333333333336
v6,42,100000,fallback,11041,19.0,160.98947368421045,3058.799999999999,1,1,0.9854166666666667,0.5395833333333333,0.96875,0.5916666666666667
v6,42,100000,fallback,11042,14.0,218.01428571428576,3052.2000000000007,1,0,0.9833333333333333,0.46041666666666664,0.9833333333333333,0.4395833333333333
v6,42,100000,fallback,11043,17.0,165.39411764705898,2811.7000000000025,1,0,0.83125,0.6375,0.9625,0.49583333333333335
v6,42,100000,fallback,11044,15.0,171.71999999999994,2575.7999999999993,1,0,0.5645833333333333,0.6583333333333333,0.8895833333333333,0.3958333333333333
v6,42,100000,fallback,11045,17.0,173.68235294117662,2952.6000000000026,1,0,0.83125,0.6854166666666667,0.94375,0.46041666666666664
v6,42,100000,fallback,11046,16.0,139.61250000000004,2233.8000000000006,0,0,0.49375,0.575,0.8229166666666666,0.3625
v6,42,100000,fallback,11047,17.0,144.0176470588235,2448.2999999999997,1,0,0.7020833333333333,0.5770833333333333,0.9,0.45416666666666666
v6,42,100000,fallback,11048,18.0,151.58333333333334,2728.5,1,1,0.8208333333333333,0.7270833333333333,0.9375,0.4979166666666667
v6,42,100000,fallback,11049,15.0,186.8,2802.0,1,0,0.8333333333333334,0.5708333333333333,0.9583333333333334,0.4479166666666667
