method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3
v6,123,100000,satisfied,11000,19.0,142.03684210526313,2698.6999999999994,1,1,0.61875,0.8395833333333333,0.8541666666666666,0.9083333333333333
v6,123,100000,satisfied,11001,22.0,129.87272727272736,2857.2000000000016,1,1,0.65625,0.8541666666666666,0.9354166666666667,0.96875
v6,123,100000,satisfied,11002,18.0,148.64999999999998,2675.7,1,1,0.58125,0.84375,0.8,0.9833333333333333
v6,123,100000,satisfied,11003,24.0,111.67916666666672,2680.300000000001,1,1,0.65625,0.91875,0.96875,0.95
v6,123,100000,satisfied,11004,19.0,145.64736842105256,2767.299999999999,1,1,0.65,0.9208333333333333,0.90625,0.9166666666666666
v6,123,100000,satisfied,11005,23.0,118.3478260869565,2721.9999999999995,1,1,0.5041666666666667,0.975,0.95625,0.9520833333333333
v6,123,100000,satisfied,11006,19.0,128.0736842105263,2433.3999999999996,1,1,0.53125,0.7020833333333333,0.9729166666666667,0.8645833333333334
v6,123,100000,satisfied,11007,21.0,113.57619047619052,2385.100000000001,1,1,0.5291666666666667,0.7645833333333333,0.9854166666666667,0.8083333333333333
v6,123,100000,satisfied,11008,23.0,111.38260869565222,2561.800000000001,1,1,0.5645833333333333,0.7916666666666666,0.9229166666666667,0.93125
v6,123,100000,satisfied,11009,20.0,143.445,2868.9,1,1,0.6229166666666667,0.9854166666666667,0.9625,0.96875
v6,123,100000,satisfied,11010,20.0,147.70000000000005,2954.000000000001,1,1,0.5729166666666666,0.89375,0.9520833333333333,0.9229166666666667
v6,123,100000,satisfied,11011,24.0,112.58333333333333,2702.0,1,1,0.5916666666666667,0.9354166666666667,0.9729166666666667,0.9208333333333333
v6,123,100000,satisfied,11012,21.0,117.75238095238092,2472.7999999999993,1,1,0.525,0.80625,0.8833333333333333,0.8875
v6,123,100000,satisfied,11013,22.0,122.50909090909089,2695.1999999999994,1,1,0.5583333333333333,0.9041666666666667,0.91875,0.94375
v6,123,100000,satisfied,11014,23.0,124.69130434782619,2867.9000000000024,1,1,0.59375,0.9916666666666667,0.9583333333333334,0.9854166666666667
v6,123,100000,satisfied,11015,22.0,120.72272727272725,2655.8999999999996,1,1,0.6291666666666667,0.8666666666666667,0.94375,0.9479166666666666
v6,123,100000,satisfied,11016,20.0,133.72499999999997,2674.499999999999,1,1,0.575,0.85,0.95625,0.9625
v6,123,100000,satisfied,11017,20.0,133.88,2677.6,1,1,0.6,0.9479166666666666,0.90625,0.9541666666666667
v6,123,100000,satisfied,11018,19.0,150.2315789473684,2854.3999999999996,1,1,0.625,0.9166666666666666,0.8833333333333333,0.9416666666666667
