method,training_seed,checkpoint_steps,selection_status,eval_seed,throughput,cost_per_unit,total_cost,util_satisfied,tp_satisfied,util_0,util_1,util_2,util_3,util_4,util_5,util_6
v6,999,600000,fallback,11000,38.0,116.14999999999964,4413.699999999986,0,0,0.9395833333333333,0.6854166666666667,0.0,0.9416666666666667,0.9145833333333333,0.15625,0.46458333333333335
v6,999,600000,fallback,11001,33.0,150.9696969696969,4981.999999999998,0,0,0.9458333333333333,0.6958333333333333,0.1375,0.98125,0.5895833333333333,0.08958333333333333,0.4708333333333333
v6,999,600000,fallback,11002,44.0,97.2409090909091,4278.6,1,0,0.91875,0.20833333333333334,0.8104166666666667,0.7708333333333334,0.0,0.27708333333333335,0.37083333333333335
v6,999,600000,fallback,11003,36.0,109.45555555555522,3940.399999999988,0,0,0.8666666666666667,0.5166666666666667,0.04583333333333333,0.8895833333333333,0.9375,0.12708333333333333,0.4666666666666667
v6,999,600000,fallback,11004,38.0,115.0328947368422,4371.250000000004,0,0,0.8895833333333333,0.55,0.24166666666666667,0.9041666666666667,0.6458333333333334,0.11666666666666667,0.5916666666666667
v6,999,600000,fallback,11005,44.0,90.16022727272713,3967.049999999994,0,0,0.8520833333333333,0.5645833333333333,0.15833333333333333,0.9520833333333333,0.8833333333333333,0.16041666666666668,0.6083333333333333
v6,999,600000,fallback,11006,35.0,124.02999999999952,4341.049999999983,0,0,0.8583333333333333,0.6583333333333333,0.05416666666666667,0.7229166666666667,0.9229166666666667,0.08541666666666667,0.5583333333333333
v6,999,600000,fallback,11007,27.0,145.4999999999995,3928.4999999999864,0,0,0.8416666666666667,0.3770833333333333,0.05625,0.47291666666666665,0.9395833333333333,0.03958333333333333,0.46458333333333335
v6,999,600000,fallback,11008,39.0,92.89999999999958,3623.0999999999835,0,0,0.8041666666666667,0.5166666666666667,0.07083333333333333,0.9041666666666667,0.8958333333333334,0.1125,0.58125
v6,999,600000,fallback,11009,36.0,141.7527777777775,5103.09999999999,0,0,0.95625,0.6541666666666667,0.0,0.9833333333333333,0.9416666666666667,0.10208333333333333,0.6083333333333333
v6,999,600000,fallback,11010,41.0,109.65365853658525,4495.799999999996,0,0,0.9895833333333334,0.55,0.09166666666666666,0.9604166666666667,0.925,0.14791666666666667,0.4895833333333333
v6,999,600000,fallback,11011,35.0,145.53999999999968,5093.899999999989,0,0,0.9208333333333333,0.7520833333333333,0.06458333333333334,0.8416666666666667,0.9333333333333333,0.07916666666666666,0.53125
v6,999,600000,fallback,11012,44.0,108.01818181818153,4752.799999999987,1,0,0.9583333333333334,0.325,0.7625,0.9354166666666667,0.0,0.3,0.3541666666666667
v6,999,600000,fallback,11013,46.0,108.80760869565225,5005.150000000003,1,0,0.9770833333333333,0.0,0.9583333333333334,0.7895833333333333,0.0,0.28541666666666665,0.36875
v6,999,600000,fallback,11014,46.0,116.16413043478268,5343.550000000003,1,0,1.0,0.3958333333333333,0.7833333333333333,0.8458333333333333,0.0,0.31666666666666665,0.34791666666666665
v6,999,600000,fallback,11015,38.0,102.7447368421049,3904.299999999986,0,0,0.8041666666666667,0.59375,0.13125,0.8104166666666667,0.8583333333333333,0.13125,0.5708333333333333
v6,999,600000,fallback,11016,41.0,110.36097560975593,4524.799999999993,0,0,0.95,0.6479166666666667,0.09166666666666666,0.9729166666666667,0.9416666666666667,0.12708333333333333,0.5354166666666667
v6,999,600000,fallback,11017,40.0,116.62874999999985,4665.149999999994,0,0,0.9916666666666667,0.5666666666666667,0.2625,0.8520833333333333,0.7666666666666667,0.15833333333333333,0.5625
v6,999,600000,fallback,11018,39.0,116.19871794871763,4531.749999999987,0,0,0.9541666666666667,0.6854166666666667,0.0,0.9625,0.9333333333333333,0.09791666666666667,0.6125
v6,999,600000,fallback,11019,35.0,116.2214285714281,4067.7499999999836,0,0,0.8854166666666666,0.5708333333333333,0.09375,0.9166666666666666,0.7541666666666667,0.10625,0.58125
v6,999,600000,fallback,11020,36.0,110.58472222222198,3981.0499999999915,0,0,0.8020833333333334,0.5333333333333333,0.0,0.98125,0.9458333333333333,0.11041666666666666,0.49166666666666664
v6,999,600000,fallback,11021,37.0,131.28648648648618,4857.5999999999885,0,0,0.95,0.675,0.0,0.9770833333333333,0.9333333333333333,0.15208333333333332,0.5083333333333333
v6,999,600000,fallback,11022,32.0,129.92812499999968,4157.69999999999,0,0,0.84375,0.58125,0.07291666666666667,0.7770833333333333,0.9083333333333333,0.125,0.43333333333333335
v6,999,600000,fallback,11023,34.0,136.10147058823486,4627.449999999985,0,0,0.9083333333333333,0.5625,0.029166666666666667,0.7541666666666667,0.9270833333333334,0.11041666666666666,0.5166666666666667
v6,999,600000,fallback,11024,50.0,100.88600000000002,5044.300000000001,1,1,0.9958333333333333,0.1,0.95,0.9729166666666667,0.0,0.32708333333333334,0.38958333333333334
v6,999,600000,fallback,11025,35.0,104.10428571428531,3643.649999999986,0,0,0.75,0.5125,0.025,0.9104166666666667,0.7583333333333333,0.09166666666666666,0.55625
v6,999,600000,fallback,11026,41.0,113.03658536585334,4634.499999999987,0,0,0.88125,0.6041666666666666,0.15416666666666667,0.6645833333333333,0.91875,0.12708333333333333,0.6145833333333334
v6,999,600000,fallback,11027,49.0,104.96020408163275,5143.050000000005,1,0,0.9875,0.07083333333333333,0.93125,0.925,0.0,0.3645833333333333,0.3854166666666667
v6,999,600000,fallback,11028,37.0,122.0959459459456,4517.549999999987,0,0,0.8791666666666667,0.6770833333333334,0.0,0.9895833333333334,0.9604166666666667,0.12083333333333333,0.5291666666666667
v6,999,600000,fallback,11029,44.0,112.56022727272745,4952.650000000008,1,0,0.9583333333333334,0.041666666666666664,0.9083333333333333,0.7625,0.0,0.30416666666666664,0.30833333333333335
v6,999,600000,fallback,11030,37.0,112.00810810810776,4144.299999999987,0,0,0.8520833333333333,0.6458333333333334,0.0,0.9833333333333333,0.9583333333333334,0.08541666666666667,0.6083333333333333
v6,999,600000,fallback,11031,35.0,109.42857142857093,3829.9999999999827,0,0,0.7854166666666667,0.5854166666666667,0.0,0.9708333333333333,0.8770833333333333,0.11458333333333333,0.5229166666666667
v6,999,600000,fallback,11032,38.0,106.73552631578954,4055.9500000000025,0,0,0.9416666666666667,0.475,0.41458333333333336,0.8729166666666667,0.26458333333333334,0.2,0.4375
v6,999,600000,fallback,11033,35.0,106.18857142857094,3716.599999999983,0,0,0.7479166666666667,0.6,0.0,0.9708333333333333,0.9375,0.08958333333333333,0.5770833333333333
v6,999,600000,fallback,11034,39.0,112.0628205128203,4370.449999999992,0,0,0.9291666666666667,0.6229166666666667,0.0,0.9770833333333333,0.9354166666666667,0.14791666666666667,0.48541666666666666
v6,999,600000,fallback,11035,38.0,100.3118421052625,3811.849999999975,0,0,0.7208333333333333,0.5604166666666667,0.06041666666666667,0.8395833333333333,0.9416666666666667,0.07916666666666666,0.6895833333333333
v6,999,600000,fallback,11036,45.0,107.16777777777764,4822.549999999994,1,0,0.9520833333333333,0.28958333333333336,0.75,0.9333333333333333,0.0,0.33125,0.34791666666666665
v6,999,600000,fallback,11037,39.0,88.82435897435847,3464.1499999999805,0,0,0.7291666666666666,0.51875,0.15625,0.9375,0.7416666666666667,0.12291666666666666,0.5229166666666667
v6,999,600000,fallback,11038,46.0,111.55760869565212,5131.649999999998,1,0,0.9520833333333333,0.03125,0.9208333333333333,0.7791666666666667,0.0,0.3104166666666667,0.28541666666666665
v6,999,600000,fallback,11039,32.0,161.24843749999974,5159.949999999992,0,0,0.93125,0.74375,0.075,0.7270833333333333,0.9145833333333333,0.052083333333333336,0.51875
v6,999,600000,fallback,11040,43.0,111.19186046511624,4781.249999999998,1,0,0.925,0.13541666666666666,0.7395833333333334,0.8333333333333334,0.0,0.26875,0.36041666666666666
v6,999,600000,fallback,11041,38.0,110.42763157894724,4196.249999999995,0,0,0.8770833333333333,0.56875,0.16666666666666666,0.9520833333333333,0.65,0.14583333333333334,0.44166666666666665
v6,999,600000,fallback,11042,36.0,121.8930555555552,4388.149999999987,0,0,0.8854166666666666,0.65625,0.07083333333333333,0.85,0.9291666666666667,0.09375,0.6291666666666667
v6,999,600000,fallback,11043,42.0,104.05833333333315,4370.4499999999925,1,0,1.0,0.35833333333333334,0.6354166666666666,0.8854166666666666,0.0,0.2375,0.4166666666666667
v6,999,600000,fallback,11044,39.0,100.76538461538432,3929.8499999999885,0,0,0.8333333333333334,0.6020833333333333,0.029166666666666667,0.93125,0.9333333333333333,0.11458333333333333,0.5458333333333333
v6,999,600000,fallback,11045,37.0,120.90810810810785,4473.59999999999,0,0,0.9854166666666667,0.35833333333333334,0.48333333333333334,0.95625,0.0,0.16041666666666668,0.5
v6,999,600000,fallback,11046,37.0,88.06891891891841,3258.5499999999815,0,0,0.6979166666666666,0.38333333333333336,0.15833333333333333,0.9208333333333333,0.6333333333333333,0.10833333333333334,0.5895833333333333
v6,999,600000,fallback,11047,47.0,96.35425531914906,4528.650000000006,1,0,0.9583333333333334,0.12916666666666668,0.8020833333333334,0.86875,0.0,0.3375,0.3125
v6,999,600000,fallback,11048,44.0,104.16477272727269,4583.249999999998,1,0,0.96875,0.325,0.73125,0.925,0.0,0.26666666666666666,0.4479166666666667
v6,999,600000,fallback,11049,46.0,94.17500000000003,4332.050000000001,1,0,0.9916666666666667,0.21666666666666667,0.7708333333333334,0.90625,0.0,0.27291666666666664,0.4479166666666667
