testbed,seed,selected_checkpoint,selection_status,best_joint_sat,test_cpu,test_tp,util_sat_rate_pct,tp_sat_rate_pct,lam_T_peak,lam_T_saturation_pct,lam_U_peak,mean_tp_slack,mean_util_slack
bakery,7,1400000,fallback,6,162.55719069931615,16.8,98.0,34.0,6770.058145099391,0.0,2.0258802085509733,-0.002156251537941545,0.500331819508397
bakery,42,50000,fallback,6,164.1139400067339,16.8,72.0,38.0,7821.112473893621,0.0,1.2997294427737842,-0.0024936389647815154,0.46295463427880823
bakery,123,100000,satisfied,20,131.53833142061615,20.68,94.0,96.0,5530.938755625901,0.0,2.7356523089691,-0.0017661686802985038,0.5183443488955655
bakery,999,1000000,satisfied,19,133.85553801573607,20.14,88.0,98.0,7266.919077973014,0.0,2.355670808098716,-0.0023193892139200343,0.36421269533299955
bakery,2024,1400000,satisfied,20,138.33305414249605,19.94,100.0,88.0,5914.294577593089,0.0,1.474173812755975,-0.0018903270632868875,0.49154189191195446
electronics,7,300000,fallback,0,113.6310010117972,36.84,0.0,0.0,20000.0,56.86509123541729,7.089006046397465,-0.013508397303861022,0.13730257438190305
electronics,42,1500000,fallback,1,106.41494498895293,43.32,100.0,0.0,20000.0,53.48489380795692,6.554491674175685,-0.012851851401173564,0.20526520907207554
electronics,123,200000,satisfied,20,84.30925342918023,53.16,100.0,84.0,20000.0,42.65629673945558,7.664722477904826,-0.010897163224992346,0.1559996842971839
electronics,999,600000,fallback,0,113.3323049201359,39.26,28.000000000000004,2.0,20000.0,35.23781034998505,2.970198216515637,-0.011124407801819487,0.20865895244766602
electronics,2024,800000,fallback,0,115.74016527025697,36.9,8.0,0.0,20000.0,38.58809452587496,18.629987037517203,-0.012247431923875524,0.1274961586481503
